date,open,high,low,close,volume
8/03/2011,1.64,1.664,1.6,1.644,1399852
9/03/2011,1.644,1.666,1.618,1.648,924722
10/03/2011,1.6294,1.6327,1.582,1.6007,1017073
11/03/2011,1.59,1.6167,1.5687,1.6047,930818
14/03/2011,1.588,1.6,1.5467,1.55,1165972
15/03/2011,1.48,1.5307,1.4533,1.53,1318870
16/03/2011,1.524,1.55,1.5126,1.5213,1169646
17/03/2011,1.5494,1.562,1.5094,1.5207,922529
18/03/2011,1.546,1.546,1.5007,1.5307,687842
21/03/2011,1.5366,1.5366,1.5026,1.5153,411640
22/03/2011,1.5153,1.524,1.4666,1.4793,582798
23/03/2011,1.474,1.4847,1.4514,1.4807,422805
24/03/2011,1.476,1.492,1.4654,1.4887,462173
25/03/2011,1.4954,1.5334,1.4934,1.5167,567938
28/03/2011,1.5133,1.5693,1.5033,1.55,1058019
29/03/2011,1.5534,1.6,1.5474,1.5947,755611
30/03/2011,1.6074,1.6327,1.534,1.5807,1223909
31/03/2011,1.77,1.914,1.7667,1.85,11522351
1/04/2011,1.83,1.8786,1.7713,1.7773,2865025
4/04/2011,1.7887,1.8,1.682,1.722,2609230
5/04/2011,1.7267,1.8,1.7127,1.78,3181730
6/04/2011,1.7993,1.8007,1.72,1.766,1288298
7/04/2011,1.79,1.8627,1.7633,1.816,2810769
8/04/2011,1.8387,1.84,1.7573,1.766,1946354
11/04/2011,1.7647,1.7687,1.668,1.6847,1372234
12/04/2011,1.672,1.6806,1.62,1.6433,1357369
13/04/2011,1.6753,1.7127,1.654,1.662,1211445
14/04/2011,1.658,1.6853,1.6133,1.676,983383
15/04/2011,1.71,1.7453,1.694,1.7053,943430
18/04/2011,1.6754,1.708,1.624,1.6687,1033897
19/04/2011,1.684,1.684,1.6433,1.6773,548680
20/04/2011,1.7134,1.7394,1.6867,1.7167,837489
21/04/2011,1.7234,1.7987,1.706,1.7827,1386086
25/04/2011,1.78,1.782,1.7313,1.7593,800822
26/04/2011,1.7773,1.8166,1.754,1.7953,1372314
27/04/2011,1.7953,1.824,1.7753,1.8053,996880
28/04/2011,1.8047,1.846,1.7813,1.844,1644999
29/04/2011,1.846,1.858,1.828,1.84,726341
2/05/2011,1.84,1.8533,1.804,1.83,784561
3/05/2011,1.8253,1.826,1.7666,1.7913,913946
4/05/2011,1.7853,1.8,1.7166,1.7793,1047147
5/05/2011,1.8134,1.8294,1.7447,1.7627,1219478
6/05/2011,1.7933,1.8467,1.7747,1.808,981607
9/05/2011,1.8,1.8667,1.79,1.8607,916324
10/05/2011,1.8827,1.93,1.8607,1.8887,1535660
11/05/2011,1.88,1.8866,1.7947,1.8047,962987
12/05/2011,1.8047,1.8494,1.7767,1.8447,627754
13/05/2011,1.8667,1.8793,1.82,1.8367,661592
16/05/2011,1.866,1.866,1.77,1.7733,755606
17/05/2011,1.8,1.8,1.7147,1.7307,1234186
18/05/2011,1.74,1.7647,1.7014,1.7567,729424
19/05/2011,1.802,1.896,1.7733,1.88,2655370
20/05/2011,1.884,1.8854,1.8234,1.8647,842553
23/05/2011,1.8413,1.8413,1.7747,1.788,863549
24/05/2011,1.8013,1.8333,1.7733,1.7813,613660
25/05/2011,1.7933,1.934,1.7447,1.932,4693816
26/05/2011,1.9213,1.984,1.8733,1.9653,3336826
